subject_name,word,share,pred_share,pred_dshare,slope_3yr,spec_cum
Relativity and gravitational theory,black_hole,0.018691588785046728,0.03358596330891208,0.01489437452386535,-0.0052740886484123044,92.89162267890777
Relativity and gravitational theory,cosmology,0.009345794392523364,0.021746875634827644,0.01240108124230428,-0.004099032628299717,67.7700592187239
Relativity and gravitational theory,rotate,0.0,0.005052353283997317,0.005052353283997317,3.6056626322456234e-18,17.46417188702055
Relativity and gravitational theory,collapse,0.0,0.004145263551436503,0.004145263551436503,3.6056626322456234e-18,39.19232340359937
Relativity and gravitational theory,thermodynamic,0.0,0.003702876754661913,0.003702876754661913,-0.002923976608187133,19.037032088025512
Several complex variables and analytic spaces,geometry,0.0,0.01254213514212916,0.01254213514212916,-0.019736842105263153,6.192018191753776
Several complex variables and analytic spaces,domain,0.02197802197802198,0.03222111555440204,0.010243093576380062,-0.015326778484673214,23.91615706341788
Several complex variables and analytic spaces,function,0.02197802197802198,0.030540352876251346,0.008562330898229366,-0.021905725853094273,7.053933180021825
Several complex variables and analytic spaces,boundary,0.0,0.006647729949219399,0.006647729949219399,2.2088274965722012e-18,9.429737063570844
Several complex variables and analytic spaces,manifold,0.01098901098901099,0.014101470914214456,0.0031124599252034665,-0.0010844418739155565,10.564156407981107
"Statistical mechanics, structure of matter",heavy,0.0,0.007067713406012394,0.007067713406012394,-0.01293103448275862,12.263764335437664
"Statistical mechanics, structure of matter",collision,0.0,0.0059884116386273506,0.0059884116386273506,-0.008620689655172412,22.152027862593705
"Statistical mechanics, structure of matter",transport,0.0196078431372549,0.014856380817159415,-0.004751462320095487,-0.003127112914131178,7.477681025502815
"Statistical mechanics, structure of matter",spin,0.0196078431372549,0.013061631813366906,-0.006546211323887995,0.001183231913455033,23.386055221192287
"Statistical mechanics, structure of matter",magnetic,0.0196078431372549,0.009832459293741665,-0.009775383843513237,0.00980392156862745,12.216596011070598
Statistics,causal_inference,0.0032666394446712946,0.0035589928544402,0.0002923534097689054,0.0003475004717845819,7.747990756918221
Statistics,change_point,0.002449979583503471,0.002475135734472,2.5156150968528858e-05,0.00030654746992954553,8.071301409988795
Statistics,time_series,0.007758268681094325,0.007496100246776244,-0.00026216843431808097,-0.0008967657329282243,6.58975157269312
Statistics,integrative,0.0016333197223356473,0.0013175836390374612,-0.0003157360832981862,0.0006329713968033857,4.800342455643138
Statistics,microbiome,0.0012249897917517355,0.0008376576718550157,-0.0003873321198967197,0.0006124948958758676,6.2703037817730936
Systems theory; control,robot,0.004987531172069825,0.010597406990320106,0.00560987581825028,-0.004805504486957786,9.563233685327186
Systems theory; control,guidance,0.0,0.0020083357313798174,0.0020083357313798174,9.96044679437802e-19,18.723323664667088
Systems theory; control,unmanned,0.0024937655860349127,0.003258499844903571,0.0007647342588686582,-0.0024027522434788935,23.429185762203737
Systems theory; control,aircraft,0.0024937655860349127,0.002311329643195934,-0.00018243594283897855,-0.0011862072313134442,12.390434778088514
